num__CZAS_POSIADANIA|num__L_WIAD_POCZTA_G|num__DZIEN_MIN|num__DZIEN_L_POL|num__DZIEN_OPLATA|num__WIECZOR_MIN|num__WIECZ_L_POL|num__WIECZ_OPLATA|num__NOC_MIN|num__NOC_L_POL|num__NOC_OPLATA|num__MIEDZY_MIN|num__MIEDZY_L_POL|num__MIEDZY_OPLATA|num__L_POL_BIURO|cat__STAN_9|cat__STAN_MISSING|cat__KOD_OBSZARU_408.0|cat__KOD_OBSZARU_415.0|cat__KOD_OBSZARU_510.0|cat__KOD_OBSZARU_9.0|cat__KOD_OBSZARU_MISSING|cat__PLAN_MIEDZY_0.0|cat__PLAN_MIEDZY_1.0|cat__PLAN_MIEDZY_9.0|cat__PLAN_MIEDZY_MISSING|cat__POCZTA_G_0.0|cat__POCZTA_G_1.0|cat__POCZTA_G_9.0|cat__POCZTA_G_MISSING|REZYGN
-2375.0|0.0|156.6|2200.0|1331.0||75.0|||115.0||12.3|5.0|||0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0
62.0|0.0|120.7|-1750.0|||||10150.0||457.0|655.0||3.54|4.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
|0.0|332.9||56.59|-7945.0|4850.0|675.25|160.6||7.23|5.4||146.0||0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1
|27.0|9820.0|-3475.0|||90.0|23.88|2232.5|1875.0|4.02|13.8||-93.25|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
93.0||||32.42||5550.0||129.6|121.0|-145.75||3.0|54.75|3.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
|33.0|189.7|||212.8||18.09|||||5.0|2.7||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
73.0|0.0|224.4|90.0|1907.5|159.5||||74.0|217.0|325.0||175.5||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
|||5850.0|26.37||93.0|-509.25|208.8||||||0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0
7700.0||62.4|89.0|10.61|||-361.0|5240.0|64.0|9.43|||38.5|5.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|1
|0.0|183.0|2800.0|777.75||||-4545.0|78.0|8.18|9.5|||0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
|0.0|110.4||1877.0|13730.000000000002|2550.0|11.67|18960.0|||7.7||2.08|2.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
132.0||81.1||13.79|245.2|72.0||-5925.0||10.67|515.0|-50.0||0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0
174.0|0.0|124.3||-528.25|13855.000000000002|112.0|588.75|||||-125.0|4.19|3.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0
57.0|39.0||115.0|36.21|9555.0|-2800.0|-406.0|182.7|115.0|205.50000000000003|9.5|3.0|2.57||1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
54.0|||7300.0|22.83|155.5|-2500.0|13.22|102.1||-114.75|||3.97|3.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
||190.0|5450.0|||-2100.0||-4537.5||||||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
49.0|0.0||117.0|1014.0|-5377.5||914.0|178.7||||1.0|3.0||0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
142.0|0.0|84.8||14.42|136.7|63.0|11.62||-3700.0|11.27|355.0||||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
3750.0|0.0|226.1|2625.0|||2675.0|17.13||4900.0|11.08|||2.78|1.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0
|||121.0||31.2|115.0|66.25||78.0|13.2|315.0||||1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
|0.0||5900.0|42.43|252.4|119.0|1072.5|280.2|90.0||||3.19||0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1
|||94.0||-4875.0|-1875.0|16.58|213.5||||||0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
72.0||220.0|-2000.0|||102.0||7640.000000000001||172.0|14.7||99.25||1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
|30.0|-3657.500000000001|128.0|1243.5|4062.5||||||14.5|||0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
|0.0|130.8|-1600.0|1112.0|5592.5|116.0||227.8|||10.0|125.0|135.0||0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
6800.0|33.0||||187.6|99.0|797.5|-2542.5|||10.5|150.0|||0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
||140.4||23.87|271.8|9200.0|||108.0|-211.75000000000003||||1.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
|0.0|126.3|102.0|1073.5|16680.0||14.18||3375.0|8.45|9.4|100.0|127.0||1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0
|41.0|4327.5|||||17.33|122.2|7800.0|5.5|-365.0||3.94|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|1
34.0|0.0|124.8|82.0|21.22||2450.0||15575.0|3900.0|14.02|10.0|-100.0|||0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
160.0|0.0|||14.59|165.3|||8925.0|||920.0|-100.0||3.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
|||1675.0||225.8|||||||3.0|23.75||0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
|28.0|-3022.5||||92.0|18.11|163.1|||425.0|5.0||2.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
|0.0||||162.6||||||13.2|5.0|3.56|3.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0
142.0|0.0|187.0||31.79|||11.44||127.0||7.4|||2.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0
|0.0|||27.05||117.0|19.66|143.2|91.0|||3.0||5.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1
97.0||133.2||22.64|-5430.0|58.0||70.6|||-275.0|||1.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
|-0.0|191.9|5400.0|||96.0|22.93|||||5.0|-52.75||0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
||220.6||37.5|211.1|5750.0|||129.0||||||0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
|0.0|9305.0|||19020.0|||7070.0|57.0|636.5|11.4|-150.0|||1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
||-4005.0|117.0|27.23|267.5|||11425.0||||250.0|2.51||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
87.0||151.0|-2075.0|25.67|||18.67||127.0||485.0|75.0|||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1
||8775.0||29.84||||13510.0|98.0|12.16|10.2|3.0|2.75||1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
|0.0|126.9||1078.5|180.0|62.0|15.3||128.0|6.34|-200.0|200.0|2.16|1.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0
||198.4|129.0|33.73|||6.4|181.2|3850.0|-203.75|145.0|-75.0|1.57|3.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1
68.0|0.0|3720.000000000001|70.0|2530.0|||20.95|-3245.0000000000005|-2575.0||302.5|3.0|3.27||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
125.0|0.0|229.3||1949.0|177.4|||-4732.5|95.0|8.52||8.0||1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0
|0.0|192.1|4850.0|816.4999999999999|169.9||14.44||54.0||285.0|4.0|3.08||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
-2900.0||268.6|83.0||178.2||||106.0|||3.0|||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
|33.0|||32.93||96.0|20.92|138.0|9200.0|6.21|||||0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0
149.0|||-2300.0|30.72||6400.0|15.96||53.0|11.95|12.6|3.0|3.4||0.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
|-0.0|||||97.0|13.85||2650.0||8.2|-150.0|110.5||0.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0
40.0|4100.0||1850.0|25.18|4237.5|88.0||5352.5|102.0|9.63|6.2|5.0|1.67||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
|0.0||105.0||10640.0|2600.0||157.8|67.0|7.1|||2.51||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
113.0|0.0|6260.0|93.0||206.4|||129.3|139.0|5.82|8.3|8.0|224.00000000000003|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0
6300.0||211.6|-1750.0|35.97|||18.44|||345.5||50.0||1.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
150.0|0.0|178.9|101.0|30.41|16910.0|-2750.0||-3715.0|100.0|||3.0|||0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1
||-6045.0|93.0|||-2075.0|1449.0|7382.5||13.29|||||0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
||224.9|||4705.0|84.0|1600.0||61.0||12.1|200.0|-81.75||0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0
||248.6|8300.0|42.26||85.0||172.5|109.0|-194.0||-100.0|2.16||0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
|||146.0|864.5|11335.0||||2625.0|6.86|7.3|||1.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
85.0|-0.0|235.8||40.09|15719.999999999998|9400.0||||||3.0|81.0||1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0
|0.0|7855.0|90.0||223.3|72.0|18.98|9070.0|111.0||6.1|-50.0|||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0
|||2725.0||181.0|100.0|769.5|-6752.500000000001|||11.7|4.0||0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1
|0.0|||10.47|77.1|||-4325.0|||||2.21||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|1
46.0|0.0|214.1|72.0|36.4|164.4|2600.0|||113.0|399.5||75.0|||0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
70.0|0.0||98.0|||2550.0|1319.0|-5715.0|||||101.25|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
|||||7587.5|74.0||224.0||||2.0|89.0||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0
2900.0|0.0|215.4|||204.8||870.5|||626.5||250.0|85.0|3.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0
|1250.0||3075.0|||||||7.91|11.0|||3.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0
70.0||||42.42|||22.07|222.7|68.0|10.02|9.8||66.25||1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0
106.0|0.0|5265.0|96.0|35.8||85.0|21.18|191.4|88.0|215.25|12.4|25.0|3.35||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|1
||8965.0||30.48|||960.0|323.0|1950.0|14.54|215.0|||0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
|-0.0||||155.0|101.0|13.18|4740.0||213.25|||54.0||0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1
111.0|0.0|-5357.5|118.0|36.43||76.0|17.72|||8.21|||-81.0||0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
||||26.2|6170.0||10.49||57.0||10.9|9.0|147.0||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0
||-5947.5|||247.6||526.25|208.9||9.4||-100.0|||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1
82.0|||-1525.0|||105.0|16.57|||4.93|11.1|2.0|3.0||0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0
|0.0|203.4||-864.5|19090.0|104.0||196.0|119.0|8.82|-222.5|4.0||0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1
80.0|0.0|124.3|||8650.0|107.0|14.71|253.2|62.0|||9.0|||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
78.0|||4650.0|42.99||112.0|15.16|263.9||11.88|9.5|175.0|-64.25||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
|||71.0|761.25|4765.0|81.0|||||10.6||2.86||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0
5200.0|0.0|-6959.999999999999|106.0|||2825.0||163.2||183.5|245.00000000000003|||1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0
|0.0|160.1|-2750.0|680.5|213.3|1800.0|||7200.0||13.0||87.75|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
2475.0|0.0||87.0|-842.25||76.0|||||8.7||-58.75|4.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
||212.1|131.0||5235.0|2600.0|17.8|167.2|96.0|7.52|5.3|5.0|1.43||0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|1
|0.0||72.0|2140.5||3150.0|17.48||5450.0|12.38|9.8||2.65||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|1
||161.2||27.4||8300.0|1072.0||92.0|7.21|||1.19||0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
108.0|||||189.0|||6455.0||-145.25|||197.0|-0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
|||8200.0|25.79||105.0|506.0|180.0|100.0|8.1|||||0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0
95.0||135.0|4950.0||183.6|2650.0|15.61|245.3|||||3.38||1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
122.0||170.5|94.0|724.75|173.7|2725.0|-369.0||7500.0||-282.5||3.05||1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
95.0||-5952.5|||187.2|98.0|15.91||115.0|8.55||-100.0|||0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
36.0|29.0|||47.84||76.0|429.75000000000006|-4680.0||-210.5|9.0||2.43|2.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0
2325.0||||20.04|||||86.0||9.8||2.65||0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0
||148.6||25.26|131.1||11.14||142.0|9.87|10.1|||1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
157.0|0.0||90.0||7395.0||12.57||108.0|-271.5||175.0|-64.75|3.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
120.0|0.0|165.0|100.0|28.05|317.2|83.0|||||8.3||2.24||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
|0.0|185.0|||||474.5|222.8|-2275.0|501.5||2.0|-85.0|2.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
98.0|0.0|4025.0|117.0|1368.5|||||-2825.0||-302.5|4.0|3.27||0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
|0.0||108.0|1077.0||90.0|17.51|247.8|114.0|11.15|||||0.0|1.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0
3150.0|0.0|1472.5|-3125.0|||59.0||-5285.0|4400.0|475.5|||||1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0
||196.8||33.46|6372.5|122.0|21.67|-3457.5000000000005|126.0|622.0||6.0|5.4|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|1
|||||3807.500000000001|-2725.0|12.95|57.5|122.0|2.59|14.2||3.83||0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0
74.0|0.0||||-5497.5|48.0||170.0|115.0|||4.0|2.54||1.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1
|||2925.0|19.33|157.5|82.0||177.6|5900.0|199.75||3.0||2.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0
||239.8||-1019.25|||456.50000000000006|||645.0|8.7|-125.0|2.35||0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|0
-1150.0|||4600.0|35.73|227.3|77.0||10005.0|-2900.0|-225.0|13.1||||1.0|0.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
2050.0|550.0|213.8||36.35|-3545.0000000000005|86.0||14219.999999999998|123.0|-160.0|7.2|3.0|||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0
|0.0||||183.5|5850.0|390.0|||9.94|||132.5||0.0|1.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
-4825.0||170.9|124.0|||4750.0|||89.0|5.08|-290.0|75.0|3.13||0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1.0|0.0|0.0|0.0|0
130.0|0.0|||26.21|110.2|||227.4|||9.2|5.0|2.48||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0
|||52.0|34.24|229.4|||252.5||11.36||3.0|3.24||0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|0
162.0|0.0|||12.02||8700.0||154.8|82.0||9.1||246.0||0.0|1.0|0.0|0.0|0.0|1.0|0.0|1.0|0.0|0.0|0.0|0.0|0.0|0.0|1.0|1
||187.5||-797.0|146.6|-2575.0||225.7|6450.0|254.0||||4.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|1
92.0|||2250.0|15.59||123.0|823.0|175.0|8600.0|197.0|||||0.0|1.0|0.0|0.0|0.0|0.0|1.0|0.0|0.0|0.0|1.0|0.0|0.0|1.0|0.0|0
